0,1
2,3
4,5
6,7
8,9
10,11
12,13
14,15
16,17
18,19
20,21
22,23
24,25
26,27
28,29
30,31
32,33
34,35
36,37
38,39
40,41
42,43
44,45
46,17
26,47
48,49
50,51
52,53
54,55
56,57
58,59
60,61
62,63
64,65
66,67
68,69
70,71
72,73
74,75
76,77
7,78
79,80
81,82
83,77
84,85
86,87
88,89
28,90
91,92
93,94
95,96
97,98
99,100
101,102
103,104
105,106
107,108
109,110
111,112
113,114
115,116
117,117
118,119
58,103
120,121
122,123
124,125
27,126
127,76
128,129
130,131
132,133
134,135
136,137
138,139
140,57
141,61
142,143
144,121
145,118
146,147
148,149
150,151
152,153
154,155
6,156
157,158
159,29
160,137
161,162
163,164
57,165
166,167
168,169
170,171
172,155
173,83
174,175
176,149
177,178
26,179
180,61
181,69
48,182
176,183
157,53
184,185
154,186
187,92
188,134
189,190
191,192
193,194
195,196
145,197
118,198
199,116
105,105
169,200
201,202
203,115
204,70
163,205
99,206
207,208
209,210
211,142
212,53
213,214
215,216
217,218
10,219
220,221
222,223
92,224
225,146
226,227
228,229
170,230
17,231
232,233
234,235
77,236
18,68
168,237
238,239
240,29
241,150
242,243
35,244
245,246
247,248
201,218
249,250
115,251
185,217
252,253
254,170
255,256
257,235
258,259
260,92
142,261
262,186
263,264
196,265
266,57
267,268
146,13
88,146
269,270
271,78
272,273
274,275
276,78
277,278
149,119
57,279
58,280
281,282
283,284
285,111
286,287
288,289
290,291
292,293
294,193
295,296
297,298
60,299
300,301
302,234
303,304
78,305
212,306
307,308
309,310
104,311
196,84
312,199
101,313
23,314
315,237
316,243
222,317
280,281
318,319
195,158
57,320
196,321
322,323
188,324
325,326
327,89
328,329
271,330
331,141
332,333
44,334
276,330
335,336
295,92
337,338
335,339
306,340
73,136
341,24
342,104
191,262
343,166
344,345
346,347
348,349
350,196
351,160
352,353
195,53
324,354
287,355
356,357
358,359
360,361
362,363
57,364
365,3
366,367
368,282
68,369
370,371
372,373
374,375
53,376
102,312
377,64
378,327
379,380
381,382
339,383
52,224
384,385
386,223
274,170
387,131
71,267
265,388
389,141
390,146
391,392
393,394
395,396
397,398
285,399
16,400
313,401
23,402
403,404
201,405
66,315
406,382
407,408
152,114
409,410
249,131
411,33
412,413
414,334
415,237
216,111
393,416
71,417
418,63
419,420
346,413
421,422
423,61
424,203
425,426
186,141
427,201
428,429
195,306
246,285
9,340
430,141
114,431
1,141
6,78
392,214
171,432
433,424
434,435
412,144
436,43
437,242
438,383
335,439
397,305
48,440
271,441
346,144
321,442
170,443
444,14
30,431
445,446
5,447
350,158
424,61
254,139
364,170
448,449
383,394
107,234
450,332
451,451
452,453
454,285
455,456
307,457
458,102
459,85
460,13
84,461
462,463
108,141
350,53
296,75
150,223
60,464
445,465
161,160
402,466
382,467
307,454
468,127
98,469
470,12
99,471
212,224
342,472
175,76
473,474
159,475
141,476
170,299
363,477
307,478
84,428
479,280
439,480
481,482
67,483
484,31
120,485
486,487
333,488
489,287
490,491
283,234
442,405
259,475
492,383
318,0
202,196
491,432
66,493
83,245
494,349
305,289
372,495
422,419
496,251
58,497
267,498
141,464
44,241
34,318
499,342
500,58
472,285
328,223
76,501
281,39
463,475
502,403
489,40
452,487
503,181
236,287
504,331
302,505
506,507
307,508
509,510
325,118
511,81
512,368
147,513
371,514
481,211
447,515
516,517
274,139
397,459
481,290
445,392
437,23
208,518
175,341
289,519
520,357
229,438
521,482
406,522
523,524
525,526
527,528
98,331
458,529
530,140
62,531
349,134
400,528
154,532
45,533
174,174
534,190
534,535
512,536
378,486
121,119
325,197
71,537
331,31
111,473
538,303
350,331
461,92
481,539
166,111
517,533
273,455
540,541
77,37
305,43
542,26
543,280
544,398
545,137
427,117
294,166
546,547
57,548
549,550
406,551
96,285
267,475
548,552
553,89
554,342
231,359
426,458
25,555
326,449
556,554
557,371
26,202
413,63
558,467
559,248
164,6
533,366
560,463
410,540
315,230
481,267
392,252
561,557
10,334
24,182
21,111
124,145
537,244
479,292
227,562
563,89
564,565
338,188
279,566
567,241
336,568
569,141
109,570
544,305
287,549
280,462
571,18
572,573
574,575
576,577
32,21
186,31
493,531
135,511
456,456
494,232
146,11
375,142
344,578
244,579
284,170
580,581
285,582
170,583
166,399
584,404
292,290
585,531
227,436
70,114
586,404
587,401
455,23
588,235
356,589
590,265
73,155
419,41
193,591
15,503
592,288
350,224
593,11
521,267
335,594
408,533
574,12
555,292
358,595
596,274
594,597
598,111
120,574
599,600
37,601
580,339
248,303
602,543
249,591
120,603
21,399
531,203
144,574
283,505
604,31
244,508
496,605
351,43
481,263
242,238
153,606
516,151
607,319
9,608
590,321
191,166
298,566
594,493
609,315
610,611
19,65
244,612
194,65
613,61
614,86
347,184
277,94
615,515
616,32
146,617
345,436
557,244
535,618
619,194
410,466
531,61
620,97
94,551
432,112
621,305
381,474
456,242
444,622
421,321
563,146
623,286
459,461
601,383
108,3
303,209
624,406
60,314
597,307
572,625
550,272
222,267
169,227
155,48
433,380
626,627
530,355
628,114
605,629
147,630
631,632
633,634
590,215
635,607
254,636
101,637
253,638
639,640
569,2
471,289
304,412
234,641
53,369
642,375
580,439
249,562
9,643
164,484
570,169
331,372
416,22
366,86
644,422
471,386
117,295
573,366
550,645
196,638
10,241
509,327
421,215
418,531
244,646
571,129
