,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,100,100,3,3,0,100,100,1,1,0,0.0015657442390823377,0.0017018959120460194,714,734,20,2,1,1,140,159,369,210,400
1,728,1344,457,473,16,7100,7150,455,456,1,0.00030634126416828345,0.0006126825283365669,78,240,162,2,2,2,439,32,754,781,491
2,6604,7220,787,813,26,2880,2880,769,769,0,0.0013274788113958951,0.0014636304843595766,691,708,17,2,2,2,117,351,827,377,18
3,100,100,3,3,0,100,100,1,1,0,0.0015657442390823377,0.00176997174852786,729,769,40,1,1,1,639,384,279,56,413
4,2592,4232,616,676,60,10102,10136,617,618,1,0.0002042275094455223,0.00037441710065012424,46,113,67,1,2,2,556,81,424,523,143
5,100,100,3,3,0,100,100,1,1,0,0.003710133088260322,0.003880322679464924,896,898,2,2,1,1,183,660,464,503,657
6,100,100,2,2,0,100,100,1,1,0,0.002552843868069029,0.002723033459273631,854,865,11,1,1,1,651,685,293,197,728
7,9688,10304,886,891,5,4264,4264,875,875,0,0.0015317063208414173,0.0016678579938050988,707,734,27,2,2,2,148,487,45,185,454
8,4384,4590,554,587,33,1008,1008,546,546,0,0.0008169100377820892,0.0008169100377820892,469,469,0,3,2,2,42,253,681,758,904
9,3336,3952,392,515,123,2520,2520,430,430,0,0.0006807583648184077,0.0007147962830593281,398,426,28,2,2,2,126,177,682,521,124
10,7264,7880,754,782,28,4992,4992,726,726,0,0.0013274788113958951,0.0013274788113958951,626,626,0,2,2,2,189,331,618,235,259
11,100,100,3,3,0,100,100,1,1,0,0.002586881786309949,0.0028591851322373124,828,841,13,2,1,1,116,183,734,810,286
12,8664,10304,831,869,38,5992,6016,816,816,0,0.0013274788113958951,0.002382654276864427,649,826,177,1,2,2,229,396,425,57,656
13,7582,8182,810,837,27,1070,1070,805,805,0,0.0012934408931549745,0.0015657442390823377,693,752,59,2,2,2,39,446,840,282,4
14,100,100,3,3,0,100,100,1,1,0,0.0014636304843595766,0.0015317063208414173,681,707,26,2,1,1,362,319,635,673,99
15,100,100,3,3,0,100,100,1,1,0,0.0010892133837094523,0.001497668402600497,523,686,163,2,1,1,556,335,424,49,182
16,3688,4304,434,539,105,1512,1512,153,153,0,0.0004765308553728854,0.0006807583648184077,216,370,154,2,2,2,84,220,728,293,654
17,100,100,3,3,0,100,100,1,1,0,0.0014295925661186562,0.0018040096667687805,663,754,91,1,1,1,258,253,881,758,588
18,1376,1976,301,318,17,4416,4416,313,313,0,0.00017018959120460194,0.0002042275094455223,41,53,12,2,2,2,249,59,31,890,98
19,4168,4768,514,607,93,5208,5208,454,454,0,0.0002723033459273631,0.00034037918240920387,83,112,29,2,2,2,255,190,335,171,293
20,2840,3456,302,415,113,1800,1800,189,189,0,0.0002723033459273631,0.00037441710065012424,80,152,72,2,2,2,102,167,194,665,565
21,100,100,3,3,0,100,100,1,1,0,0.0031314884781646754,0.003165526396405596,878,879,1,2,1,1,369,660,621,503,685
22,600,1216,292,312,20,4176,4176,284,284,0,6.807583648184077e-05,0.00010211375472276115,11,17,6,2,2,2,274,33,749,525,554
23,5096,6736,630,750,120,8056,8080,628,634,6,0.0006807583648184077,0.0009190237925048504,277,449,172,1,2,2,379,194,454,304,808
24,688,1304,224,252,28,3290,3290,227,227,0,0.00017018959120460194,0.0002382654276864427,44,71,27,2,2,2,204,37,13,862,837
25,4072,4688,530,588,58,6696,6696,508,508,0,0.0006807583648184077,0.0011913271384322134,306,587,281,2,2,2,333,169,212,450,282
26,100,100,3,3,0,100,100,1,1,0,0.0017359338302869397,0.0017359338302869397,745,745,0,3,1,1,436,270,631,505,906
27,3136,4776,396,598,202,5232,5256,418,426,8,0.00034037918240920387,0.0012934408931549745,109,624,515,1,2,2,261,130,169,685,457
28,5920,6520,713,757,44,8528,8528,711,711,0,0.0006807583648184077,0.0006807583648184077,309,309,0,2,2,2,380,217,538,283,271
29,100,100,3,3,0,100,100,1,1,0,0.002314578440382586,0.002382654276864427,822,829,7,2,1,1,296,392,653,581,79
30,100,100,3,3,0,100,100,1,1,0,0.0025188059498281084,0.002757071377514551,845,856,11,2,1,1,344,510,374,371,178
31,296,912,173,194,21,2544,2544,174,174,0,0.00017018959120460194,0.00034037918240920387,44,96,52,2,2,2,165,17,772,259,768
32,3888,4488,513,602,89,5014,5014,522,522,0,0.0004765308553728854,0.0006126825283365669,199,283,84,2,2,2,254,183,537,119,352
33,2040,2640,418,437,19,6440,6440,419,419,0,6.807583648184077e-05,0.00030634126416828345,14,81,67,2,2,2,356,81,410,624,522
34,6712,7328,761,791,30,5048,5048,731,731,0,0.001055175465468532,0.0012594029749140542,546,610,64,2,2,2,212,316,135,146,310
35,100,100,3,3,0,100,100,1,1,0,0.0020422750944552232,0.0020422750944552232,791,791,0,2,1,1,214,336,597,389,880
36,1032,2672,122,241,119,1336,1360,120,123,3,6.807583648184077e-05,0.0009530617107457708,18,553,535,1,2,2,76,57,779,391,578
