,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,3832,4448,448,552,104,2904,2904,401,401,0,0.0007147962830593281,0.0008509479560230097,382,461,79,2,2,2,141,199,59,668,667
1,4888,6488,681,778,97,10430,10430,671,671,0,0.0004765308553728854,0.0013615167296368155,160,658,498,1,2,2,510,163,159,108,25
2,100,100,2,2,0,100,100,1,1,0,0.0026889955410327104,0.002825147213996392,870,873,3,1,1,1,738,505,170,69,113
3,3840,4456,493,560,67,6464,6464,544,544,0,0.0005446066918547262,0.0007147962830593281,237,358,121,2,2,2,311,147,699,483,326
4,3612,4212,456,561,105,2272,2272,774,774,0,0.0006467204465774873,0.0007488342013002485,370,439,69,2,2,2,91,176,457,774,348
5,4440,5056,545,614,69,4040,4040,409,409,0,0.0005786446100956465,0.0007488342013002485,257,392,135,2,2,2,194,219,673,308,615
6,100,100,3,3,0,100,100,1,1,0,0.002586881786309949,0.002757071377514551,851,860,9,2,1,1,198,557,39,753,785
7,6120,7760,784,861,77,12296,12320,782,782,0,0.0004765308553728854,0.0006126825283365669,158,232,74,1,2,2,575,189,625,245,188
8,3976,5616,627,727,100,10088,10112,621,622,1,0.0004765308553728854,0.0007147962830593281,159,295,136,1,2,2,524,142,489,261,341
9,7824,8440,791,803,12,8304,8304,827,827,0,0.0009870996289866913,0.001157289220191293,478,556,78,2,2,2,309,279,171,227,825
10,1120,2760,127,276,149,1446,1480,122,144,22,0.00034037918240920387,0.0013955546478777359,109,711,602,1,2,2,85,64,259,824,886
11,4160,4776,505,577,72,6832,6832,558,558,0,0.0005105687736138058,0.0007828721195411688,195,374,179,2,2,2,319,152,175,60,579
12,3856,5496,471,702,231,2912,2936,429,445,16,0.0009530617107457708,0.0015317063208414173,552,705,153,1,2,2,140,199,788,22,439
13,100,100,3,3,0,100,100,1,1,0,0.002586881786309949,0.0026889955410327104,833,838,5,2,1,1,150,459,363,531,468
14,100,100,3,3,0,100,100,1,1,0,0.0011232513019503727,0.0012253650566731338,556,601,45,2,1,1,214,264,831,471,253
15,7968,8568,822,840,18,6416,6416,844,844,0,0.0009870996289866913,0.001157289220191293,508,585,77,2,2,2,236,333,708,101,73
16,2976,4616,438,566,128,6544,6568,444,444,0,0.0004765308553728854,0.0007488342013002485,171,359,188,1,2,2,340,117,10,817,893
17,100,100,3,3,0,100,100,1,1,0,0.0031314884781646754,0.0033357159876101976,881,891,10,2,1,1,481,508,214,199,495
18,2256,2872,296,336,40,3968,3968,286,286,0,0.00017018959120460194,0.00034037918240920387,44,103,59,2,2,2,221,114,782,530,562
19,100,100,3,3,0,100,100,1,1,0,0.0007828721195411688,0.0009190237925048504,343,440,97,2,1,1,540,185,290,639,278
